Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,9501,9504,0,12000,Black Redstart,blared1,0.465,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_044502.wav,3
2,Spectrogram 1,1,9690,9693,0,12000,Black Redstart,blared1,0.1027,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_050002.wav,21
3,Spectrogram 1,1,9768,9771,0,12000,Black Redstart,blared1,0.4652,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_050502.wav,42
4,Spectrogram 1,1,9771,9774,0,12000,Black Redstart,blared1,0.1135,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_050502.wav,45
5,Spectrogram 1,1,9777,9780,0,12000,Black Redstart,blared1,0.4878,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_050502.wav,51
6,Spectrogram 1,1,9780,9783,0,12000,Black Redstart,blared1,0.6155,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_050502.wav,54
7,Spectrogram 1,1,10308,10311,0,12000,Black Redstart,blared1,0.998,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_055000.wav,51
8,Spectrogram 1,1,11097,11100,0,12000,Black Redstart,blared1,0.991,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_070000.wav,0
9,Spectrogram 1,1,11115,11118,0,12000,Black Redstart,blared1,0.7456,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_070000.wav,18
10,Spectrogram 1,1,13293,13296,0,12000,Black Redstart,blared1,0.7174,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_100000.wav,36
11,Spectrogram 1,1,13311,13314,0,12000,Black Redstart,blared1,0.6391,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_100000.wav,54
12,Spectrogram 1,1,13320,13323,0,12000,Black Redstart,blared1,0.9433,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_100500.wav,3
13,Spectrogram 1,1,13380,13383,0,12000,Black Redstart,blared1,0.4116,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_101000.wav,3
14,Spectrogram 1,1,13737,13740,0,12000,Black Redstart,blared1,0.9643,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\KCL\Data2\KCL_20240703_104000.wav,0
