Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,1128,1131,0,12000,Black Redstart,blared1,0.5342,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240702_144500.wav,48
2,Spectrogram 1,1,1866,1869,0,12000,Black Redstart,blared1,0.7718,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240702_155000.wav,6
3,Spectrogram 1,1,1890,1893,0,12000,Black Redstart,blared1,0.201,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240702_155000.wav,30
4,Spectrogram 1,1,2307,2310,0,12000,Black Redstart,blared1,0.178,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240702_162500.wav,27
5,Spectrogram 1,1,2319,2322,0,12000,Black Redstart,blared1,0.3356,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240702_162500.wav,39
6,Spectrogram 1,1,11619,11622,0,12000,Black Redstart,blared1,0.8782,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240703_054500.wav,42
7,Spectrogram 1,1,11625,11628,0,12000,Black Redstart,blared1,0.1188,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240703_054500.wav,48
8,Spectrogram 1,1,12813,12816,0,12000,Black Redstart,blared1,0.1843,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240703_072500.wav,36
9,Spectrogram 1,1,12831,12834,0,12000,Black Redstart,blared1,0.1471,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240703_072500.wav,54
10,Spectrogram 1,1,12858,12861,0,12000,Black Redstart,blared1,0.5771,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\Cannon_bridge\Data2\CANNONBRIDGE_20240703_073000.wav,21
