Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,430,433,0,12000,Black Redstart,blared1,0.1202,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_114500.wav,9
2,Spectrogram 1,1,3268,3271,0,12000,Black Redstart,blared1,0.1366,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_154000.wav,27
3,Spectrogram 1,1,3289,3292,0,12000,Black Redstart,blared1,0.1249,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_154000.wav,48
4,Spectrogram 1,1,3949,3952,0,12000,Black Redstart,blared1,0.1276,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_163500.wav,48
5,Spectrogram 1,1,3952,3955,0,12000,Black Redstart,blared1,0.1052,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_163500.wav,51
6,Spectrogram 1,1,3961,3964,0,12000,Black Redstart,blared1,0.1467,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_164000.wav,0
7,Spectrogram 1,1,4390,4393,0,12000,Black Redstart,blared1,0.1344,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_171500.wav,9
8,Spectrogram 1,1,4405,4408,0,12000,Black Redstart,blared1,0.1185,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240702_171500.wav,24
9,Spectrogram 1,1,14077,14080,0,12000,Black Redstart,blared1,0.1114,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_070500.wav,39
10,Spectrogram 1,1,15382,15385,0,12000,Black Redstart,blared1,0.374,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_085500.wav,24
11,Spectrogram 1,1,15937,15940,0,12000,Black Redstart,blared1,0.1027,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_094000.wav,39
12,Spectrogram 1,1,17089,17092,0,12000,Black Redstart,blared1,0.1159,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_111500.wav,51
13,Spectrogram 1,1,17284,17287,0,12000,Black Redstart,blared1,0.1175,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_113500.wav,6
14,Spectrogram 1,1,19813,19816,0,12000,Black Redstart,blared1,0.1218,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_150500.wav,15
15,Spectrogram 1,1,19918,19921,0,12000,Black Redstart,blared1,0.1043,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_151500.wav,0
16,Spectrogram 1,1,21199,21202,0,12000,Black Redstart,blared1,0.1012,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_170000.wav,21
17,Spectrogram 1,1,22051,22054,0,12000,Black Redstart,blared1,0.1104,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240703_181000.wav,33
18,Spectrogram 1,1,32197,32200,0,12000,Black Redstart,blared1,0.1,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240704_084000.wav,45
19,Spectrogram 1,1,32524,32527,0,12000,Black Redstart,blared1,0.2612,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240704_091000.wav,12
20,Spectrogram 1,1,37993,37996,0,12000,Black Redstart,blared1,0.1423,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240704_164500.wav,21
21,Spectrogram 1,1,39748,39751,0,12000,Black Redstart,blared1,0.1012,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240704_191000.wav,36
22,Spectrogram 1,1,41941,41944,0,12000,Black Redstart,blared1,0.1107,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240704_222002.wav,3
23,Spectrogram 1,1,47491,47494,0,12000,Black Redstart,blared1,0.1058,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_062000.wav,48
24,Spectrogram 1,1,49861,49864,0,12000,Black Redstart,blared1,0.1952,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_094000.wav,18
25,Spectrogram 1,1,50107,50110,0,12000,Black Redstart,blared1,0.2986,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_100000.wav,24
26,Spectrogram 1,1,54163,54166,0,12000,Black Redstart,blared1,0.2937,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_154000.wav,0
27,Spectrogram 1,1,54166,54169,0,12000,Black Redstart,blared1,0.7452,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_154000.wav,3
28,Spectrogram 1,1,54175,54178,0,12000,Black Redstart,blared1,0.289,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_154000.wav,12
29,Spectrogram 1,1,54181,54184,0,12000,Black Redstart,blared1,0.445,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_154000.wav,18
30,Spectrogram 1,1,57640,57643,0,12000,Black Redstart,blared1,0.3046,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240705_202500.wav,57
31,Spectrogram 1,1,61141,61144,0,12000,Black Redstart,blared1,0.1205,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_013502.wav,9
32,Spectrogram 1,1,64417,64420,0,12000,Black Redstart,blared1,0.4128,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_062000.wav,3
33,Spectrogram 1,1,67783,67786,0,12000,Black Redstart,blared1,0.1158,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_110000.wav,9
34,Spectrogram 1,1,68734,68737,0,12000,Black Redstart,blared1,0.3317,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_122000.wav,0
35,Spectrogram 1,1,69970,69973,0,12000,Black Redstart,blared1,0.4856,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_140000.wav,36
36,Spectrogram 1,1,72982,72985,0,12000,Black Redstart,blared1,0.1723,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_181000.wav,48
37,Spectrogram 1,1,72985,72988,0,12000,Black Redstart,blared1,0.2176,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_181000.wav,51
38,Spectrogram 1,1,74008,74011,0,12000,Black Redstart,blared1,0.1463,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240706_193500.wav,54
39,Spectrogram 1,1,88828,88831,0,12000,Black Redstart,blared1,0.1245,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240707_164000.wav,3
40,Spectrogram 1,1,88849,88852,0,12000,Black Redstart,blared1,0.1374,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240707_164000.wav,24
41,Spectrogram 1,1,90241,90244,0,12000,Black Redstart,blared1,0.1659,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240707_183500.wav,36
42,Spectrogram 1,1,99496,99499,0,12000,Black Redstart,blared1,0.2019,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240708_075500.wav,0
43,Spectrogram 1,1,101794,101797,0,12000,Black Redstart,blared1,0.167,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240708_110500.wav,18
44,Spectrogram 1,1,105901,105904,0,12000,Black Redstart,blared1,0.1003,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240708_164500.wav,45
45,Spectrogram 1,1,105904,105907,0,12000,Black Redstart,blared1,0.1556,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240708_164500.wav,48
46,Spectrogram 1,1,108061,108064,0,12000,Black Redstart,blared1,0.1788,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240708_194500.wav,45
47,Spectrogram 1,1,114898,114901,0,12000,Black Redstart,blared1,0.27,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240709_054000.wav,54
48,Spectrogram 1,1,116287,116290,0,12000,Black Redstart,blared1,0.1977,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240709_074000.wav,3
49,Spectrogram 1,1,116290,116293,0,12000,Black Redstart,blared1,0.2794,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\cleary\Data2\CLEARY_20240709_074000.wav,6
