Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,840,843,0,12000,Black Redstart,blared1,0.751,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_150500.wav,0
2,Spectrogram 1,1,846,849,0,12000,Black Redstart,blared1,0.902,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_150500.wav,6
3,Spectrogram 1,1,873,876,0,12000,Black Redstart,blared1,0.7556,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_150500.wav,33
4,Spectrogram 1,1,882,885,0,12000,Black Redstart,blared1,0.8538,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_150500.wav,42
5,Spectrogram 1,1,963,966,0,12000,Black Redstart,blared1,0.1801,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_151500.wav,3
6,Spectrogram 1,1,978,981,0,12000,Black Redstart,blared1,0.9956,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_151500.wav,18
7,Spectrogram 1,1,981,984,0,12000,Black Redstart,blared1,0.1354,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_151500.wav,21
8,Spectrogram 1,1,1011,1014,0,12000,Black Redstart,blared1,0.9266,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_151500.wav,51
9,Spectrogram 1,1,1032,1035,0,12000,Black Redstart,blared1,0.1552,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,12
10,Spectrogram 1,1,1035,1038,0,12000,Black Redstart,blared1,0.3166,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,15
11,Spectrogram 1,1,1038,1041,0,12000,Black Redstart,blared1,0.2486,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,18
12,Spectrogram 1,1,1044,1047,0,12000,Black Redstart,blared1,0.9556,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,24
13,Spectrogram 1,1,1062,1065,0,12000,Black Redstart,blared1,0.3995,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,42
14,Spectrogram 1,1,1077,1080,0,12000,Black Redstart,blared1,0.1528,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152000.wav,57
15,Spectrogram 1,1,1080,1083,0,12000,Black Redstart,blared1,0.9179,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,0
16,Spectrogram 1,1,1095,1098,0,12000,Black Redstart,blared1,0.9809,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,15
17,Spectrogram 1,1,1098,1101,0,12000,Black Redstart,blared1,0.4556,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,18
18,Spectrogram 1,1,1101,1104,0,12000,Black Redstart,blared1,0.9947,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,21
19,Spectrogram 1,1,1104,1107,0,12000,Black Redstart,blared1,0.6825,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,24
20,Spectrogram 1,1,1107,1110,0,12000,Black Redstart,blared1,0.3617,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,27
21,Spectrogram 1,1,1110,1113,0,12000,Black Redstart,blared1,0.9995,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,30
22,Spectrogram 1,1,1116,1119,0,12000,Black Redstart,blared1,0.9902,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,36
23,Spectrogram 1,1,1119,1122,0,12000,Black Redstart,blared1,0.9673,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\Guildhall June 18\GUILDHALL_20240611_152500.wav,39
