Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,19055,19058,0,12000,Black Redstart,blared1,0.2697,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240612_131000.wav,51
2,Spectrogram 1,1,71474,71477,0,12000,Black Redstart,blared1,0.1284,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240615_151500.wav,39
3,Spectrogram 1,1,74951,74954,0,12000,Black Redstart,blared1,0.119,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240615_200500.wav,36
4,Spectrogram 1,1,74960,74963,0,12000,Black Redstart,blared1,0.1195,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240615_200500.wav,45
5,Spectrogram 1,1,83186,83189,0,12000,Black Redstart,blared1,0.111,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240616_075500.wav,54
6,Spectrogram 1,1,83333,83336,0,12000,Black Redstart,blared1,0.2888,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240616_081000.wav,21
7,Spectrogram 1,1,101444,101447,0,12000,Black Redstart,blared1,0.249,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240617_094500.wav,12
8,Spectrogram 1,1,101465,101468,0,12000,Black Redstart,blared1,0.8695,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240617_094500.wav,33
9,Spectrogram 1,1,105638,105641,0,12000,Black Redstart,blared1,0.2563,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240617_153500.wav,6
10,Spectrogram 1,1,105641,105644,0,12000,Black Redstart,blared1,0.1017,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240617_153500.wav,9
11,Spectrogram 1,1,106469,106472,0,12000,Black Redstart,blared1,0.7777,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240617_164000.wav,57
12,Spectrogram 1,1,114962,114965,0,12000,Black Redstart,blared1,0.3318,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_045502.wav,18
13,Spectrogram 1,1,114980,114983,0,12000,Black Redstart,blared1,0.5589,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_045502.wav,36
14,Spectrogram 1,1,114995,114998,0,12000,Black Redstart,blared1,0.3285,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_045502.wav,51
15,Spectrogram 1,1,115901,115904,0,12000,Black Redstart,blared1,0.3349,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_061500.wav,9
16,Spectrogram 1,1,115922,115925,0,12000,Black Redstart,blared1,0.7075,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_061500.wav,30
17,Spectrogram 1,1,115940,115943,0,12000,Black Redstart,blared1,0.7113,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_061500.wav,48
18,Spectrogram 1,1,115952,115955,0,12000,Black Redstart,blared1,0.208,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_062000.wav,0
19,Spectrogram 1,1,115955,115958,0,12000,Black Redstart,blared1,0.8881,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_062000.wav,3
20,Spectrogram 1,1,115991,115994,0,12000,Black Redstart,blared1,0.9742,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_062000.wav,39
21,Spectrogram 1,1,116000,116003,0,12000,Black Redstart,blared1,0.9701,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_062000.wav,48
22,Spectrogram 1,1,116009,116012,0,12000,Black Redstart,blared1,0.1331,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_062000.wav,57
23,Spectrogram 1,1,116153,116156,0,12000,Black Redstart,blared1,0.1601,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,21
24,Spectrogram 1,1,116159,116162,0,12000,Black Redstart,blared1,0.512,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,27
25,Spectrogram 1,1,116162,116165,0,12000,Black Redstart,blared1,0.1037,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,30
26,Spectrogram 1,1,116165,116168,0,12000,Black Redstart,blared1,0.1023,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,33
27,Spectrogram 1,1,116168,116171,0,12000,Black Redstart,blared1,0.3289,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,36
28,Spectrogram 1,1,116171,116174,0,12000,Black Redstart,blared1,0.6687,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,39
29,Spectrogram 1,1,116177,116180,0,12000,Black Redstart,blared1,0.1801,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_063500.wav,45
30,Spectrogram 1,1,116273,116276,0,12000,Black Redstart,blared1,0.9521,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_064500.wav,21
31,Spectrogram 1,1,116282,116285,0,12000,Black Redstart,blared1,0.8919,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_064500.wav,30
32,Spectrogram 1,1,116285,116288,0,12000,Black Redstart,blared1,0.9837,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 1\nomura 11\Data2\NOMURA_20240618_064500.wav,33
