Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,3204,3207,0,12000,Black Redstart,blared1,0.4482,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_172000.wav,24
2,Spectrogram 1,1,3213,3216,0,12000,Black Redstart,blared1,0.3157,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_172000.wav,33
3,Spectrogram 1,1,3222,3225,0,12000,Black Redstart,blared1,0.2003,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_172000.wav,42
4,Spectrogram 1,1,3234,3237,0,12000,Black Redstart,blared1,0.2517,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_172000.wav,54
5,Spectrogram 1,1,3237,3240,0,12000,Black Redstart,blared1,0.1818,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_172000.wav,57
6,Spectrogram 1,1,3321,3324,0,12000,Black Redstart,blared1,0.825,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_173000.wav,21
7,Spectrogram 1,1,3339,3342,0,12000,Black Redstart,blared1,0.8252,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_173000.wav,39
8,Spectrogram 1,1,3342,3345,0,12000,Black Redstart,blared1,0.1713,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_173000.wav,42
9,Spectrogram 1,1,3345,3348,0,12000,Black Redstart,blared1,0.9705,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_173000.wav,45
10,Spectrogram 1,1,3354,3357,0,12000,Black Redstart,blared1,0.2222,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_173000.wav,54
11,Spectrogram 1,1,3663,3666,0,12000,Black Redstart,blared1,0.9883,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_180000.wav,3
12,Spectrogram 1,1,5103,5106,0,12000,Black Redstart,blared1,0.469,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_200000.wav,3
13,Spectrogram 1,1,5196,5199,0,12000,Black Redstart,blared1,0.3826,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_200500.wav,36
14,Spectrogram 1,1,5205,5208,0,12000,Black Redstart,blared1,0.9444,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 2\weils data\Data2\FETTER_20240618_200500.wav,45
