Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Common Name,Species Code,Confidence,Begin Path,File Offset (s)
1,Spectrogram 1,1,16557,16560,0,12000,Black Redstart,blared1,0.8863,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_111500.wav,0
2,Spectrogram 1,1,16560,16563,0,12000,Black Redstart,blared1,0.7347,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_111500.wav,3
3,Spectrogram 1,1,16563,16566,0,12000,Black Redstart,blared1,0.147,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_111500.wav,6
4,Spectrogram 1,1,16566,16569,0,12000,Black Redstart,blared1,0.9023,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_111500.wav,9
5,Spectrogram 1,1,16569,16572,0,12000,Black Redstart,blared1,0.9364,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_111500.wav,12
6,Spectrogram 1,1,20085,20088,0,12000,Black Redstart,blared1,0.1195,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_160500.wav,48
7,Spectrogram 1,1,20790,20793,0,12000,Black Redstart,blared1,0.2005,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_170500.wav,33
8,Spectrogram 1,1,20904,20907,0,12000,Black Redstart,blared1,0.3749,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,27
9,Spectrogram 1,1,20907,20910,0,12000,Black Redstart,blared1,0.6041,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,30
10,Spectrogram 1,1,20910,20913,0,12000,Black Redstart,blared1,0.8614,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,33
11,Spectrogram 1,1,20913,20916,0,12000,Black Redstart,blared1,0.1935,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,36
12,Spectrogram 1,1,20916,20919,0,12000,Black Redstart,blared1,0.128,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,39
13,Spectrogram 1,1,20919,20922,0,12000,Black Redstart,blared1,0.5569,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,42
14,Spectrogram 1,1,20925,20928,0,12000,Black Redstart,blared1,0.7572,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,48
15,Spectrogram 1,1,20934,20937,0,12000,Black Redstart,blared1,0.6149,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_171500.wav,57
16,Spectrogram 1,1,20979,20982,0,12000,Black Redstart,blared1,0.4153,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_172000.wav,42
17,Spectrogram 1,1,20982,20985,0,12000,Black Redstart,blared1,0.8235,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_172000.wav,45
18,Spectrogram 1,1,20985,20988,0,12000,Black Redstart,blared1,0.8024,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_172000.wav,48
19,Spectrogram 1,1,21969,21972,0,12000,Black Redstart,blared1,0.5075,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_184500.wav,12
20,Spectrogram 1,1,21972,21975,0,12000,Black Redstart,blared1,0.124,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240703_184500.wav,15
21,Spectrogram 1,1,32580,32583,0,12000,Black Redstart,blared1,0.8456,C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 4\wood st\Data2\1WOODSTREET_20240704_095500.wav,9
