site_names,site_codes,Stella_listed,Listed_50m,Listed_100m,Listen_200m,Church_50_m,Church_100_m,Church_200_m,Height_m,Area_m2,Green_area_m2,green_cover
Walbrook Wharf,walbrooke,0,0,0,3,0,0,2,20,516,0,0.00%
Nomura6,nomura_6,0,1,1,1,0,0,0,20,2068,734,35.49%
Nomura11,nomura_11,0,0,1,1,0,0,0,45,3765,2377,63.13%
Guildhall,guildhall,1,1,2,2,1,2,2,7,2230,786,35.25%
120 Fenchurch,fenchurch,0,0,0,0,0,0,0,65,2942,581,19.75%
Dustan Garden,dunstan,0,1,1,2,1,1,2,0,1687,1502,89.03%
Seething Lane Garden,pepys,0,0,2,2,0,2,2,0,1279,770,60.20%
Roman Fort Ruins,roman_wall,0,1,3,3,0,2,2,0,578,560,96.89%
Chrischurch Greyfriars,christchurch,0,1,1,1,1,1,1,0,3499,2239,63.99%
110 Fetter Lane,weils,0,1,1,1,1,1,1,30,2621,193,7.36%
60 London Wall,london_wall,0,0,0,0,0,0,0,50,2229,95,4.26%
Barber-Surgeons' Garden,barber_surgeons,1,1,0,3,0,0,2,0,3430,3220,93.88%
St Botolph-without-Bishopsgate,botolphs,0,1,1,2,1,1,2,0,3258,1683,51.66%
100 Liverpool St,liverpool,0,0,0,0,0,0,0,50,2334,397,17.01%
79-83 Charterhouse St,charterhouse,1,0,1,1,0,0,0,12,176,0,0.00%
Cleary Garden,cleary,0,0,0,4,0,0,3,0,1865,1097,58.82%
1 Wood St,wood_st,0,0,1,2,0,1,2,35,2246,1476,65.72%
Cannon Bridge House,cannon_bridge,1,1,1,1,0,0,0,25,3775,1765,46.75%
Inner Temple Garden,temple,1,1,1,1,0,0,1,0,14164,13364,94.35%
Maughan Library,KCL,1,1,1,2,1,1,2,20,3400,0,0.00%
Bird&Bird,b_n_b,0,0,0,1,0,0,1,50,1142,750,65.67%
